x;y;z
0;0;3.265
0;3.265;0
0;3.265;3.265
0;3.265;6.53
0;6.53;3.265
3.265;0;0
3.265;0;3.265
3.265;0;6.53
3.265;3.265;0
3.265;3.265;6.53
3.265;6.53;0
3.265;6.53;3.265
3.265;6.53;6.53
6.53;0;3.265
6.53;3.265;0
6.53;3.265;3.265
6.53;3.265;6.53
6.53;6.53;3.265
0;1.6325;3.265
0;3.265;1.6325
0;3.265;4.8975
0;4.8975;3.265
1.6325;0;3.265
1.6325;3.265;0
1.6325;3.265;6.53
1.6325;6.53;3.265
3.265;0;1.6325
3.265;0;4.8975
3.265;1.6325;0
3.265;1.6325;6.53
3.265;4.8975;0
3.265;4.8975;6.53
3.265;6.53;1.6325
3.265;6.53;4.8975
4.8975;0;3.265
4.8975;3.265;0
4.8975;3.265;6.53
4.8975;6.53;3.265
6.53;1.6325;3.265
6.53;3.265;1.6325
6.53;3.265;4.8975
6.53;4.8975;3.265
0;2.44875;2.44875
0;2.44875;4.08125
0;4.08125;2.44875
0;4.08125;4.08125
0.81625;3.265;0.81625
0.81625;3.265;5.71375
2.44875;0;2.44875
2.44875;0;4.08125
2.44875;2.44875;0
2.44875;2.44875;6.53
2.44875;4.08125;0
2.44875;4.08125;6.53
2.44875;6.53;2.44875
2.44875;6.53;4.08125
3.265;0.81625;0.81625
3.265;0.81625;5.71375
3.265;5.71375;0.81625
3.265;5.71375;5.71375
4.08125;0;2.44875
4.08125;0;4.08125
4.08125;2.44875;0
4.08125;2.44875;6.53
4.08125;4.08125;0
4.08125;4.08125;6.53
4.08125;6.53;2.44875
4.08125;6.53;4.08125
5.71375;3.265;0.81625
5.71375;3.265;5.71375
6.53;2.44875;2.44875
6.53;2.44875;4.08125
6.53;4.08125;2.44875
6.53;4.08125;4.08125
0.81625;0.81625;3.265
0.81625;4.8975;4.08125
5.71375;5.71375;3.265
